Adapter,InternalProduct,Exchange,Prefix,TradingExchangeZoneIndex,Currency,PointValue,MinMove,LotSize,ExchangeRateXxxUsd,CommissionOnRate, CommissionPerShareInXxx, MinCommissionInXxx, MaxCommissionInXxx, StampDutyRate, SlippagePoints,Product,FlatTodayDiscount,Margin,IsLive
Zd,LmeCA,LME,Commodities,210,USD,25,0.25,1,1,0,20,0,10000,0,0.5,CA3M,1,10,FALSE
Zd,LmeNI,LME,Commodities,210,USD,25,0.25,1,1,0,20,0,10000,0,0.5,NI3M,1,10,FALSE
Zd,LmePB,LME,Commodities,210,USD,25,0.25,1,1,0,20,0,10000,0,0.5,PB3M,1,10,FALSE
Zd,LmeSN,LME,Commodities,210,USD,25,0.25,1,1,0,20,0,10000,0,0.5,SN3M,1,10,FALSE
Zd,LmeZS,LME,Commodities,210,USD,25,0.25,1,1,0,20,0,10000,0,0.5,L-ZS3M,1,10,FALSE
Zd,CT,NYBOT,Futures,210,USD,50000,0.01,1,1,0,20,0,10000,0,0.5,CT,1,10,TRUE 
Zd,SB,NYBOT,Futures,210,USD,112000,0.01,1,1,0,20,0,10000,0,0.5,SB,1,10,TRUE 
Zd,SPI,SFE,Futures,210,AUD,25,1,1,0.9636,0,5,0,10000,0,0.5,S_AP,1,10,TRUE
Zd,CY,SGXQ,Futures,210,USD,50000,0.0001,1,1,0,3,0,10000,0,0.5,CY,1,10,TRUE
Zd,FEF,SGXQ,Futures,210,USD,500,0.01,1,1,0,5,0,10000,0,0.5,FEF,1,10,TRUE
Zd,JB,SGXQ,Futures,210,JPY,1000000,0.01,1,0.0119,0,300,0,10000,0,0.5,JB,1,10,TRUE
Zd,MXMY,SGXQ,Futures,210,USD,20,0.25,1,1,0,3,0,10000,0,0.5,MXMY,1,10,TRUE
Zd,SgxCN,SGXQ,Futures,210,USD,1,2.5,1,1,0,1,0,10000,0,0.5,CN,1,10,TRUE
Zd,SNIFTY,SGXQ,Futures,210,USD,2,0.5,1,1,0,3,0,10000,0,0.5,IN,1,10,TRUE
Zd,SSI,SGXQ,Futures,210,JPY,500,5,1,0.0119,0,290,0,10000,0,0.5,NK,1,10,TRUE
Zd,STW,SGXQ,Futures,210,USD,100,0.1,1,1,0,3,0,10000,0,0.5,TW,1,10,TRUE
Zd,STWN,SGXQ,Futures,210,USD,40,0.25,1,1,0,3,0,10000,0,0.5,TWN,1,10,TRUE
Zd,TF,SGXQ,Futures,210,USD,5000,0.001,1,1,0,3,0,10000,0,0.5,TF,1,10,TRUE
Zd,UC,SGXQ,Futures,210,CNY,100000,0.0001,1,0.1575,0,3,0,10000,0,0.5,UC,1,10,TRUE
